auction_id,uasg_id,auction_number
0900110000012008,090011,0000012008
0900230000012008,090023,0000012008
1200160000012008,120016,0000012008
1300210000012008,130021,0000012008
1300230000012008,130023,0000012008
1300280000012008,130028,0000012008
1530290000012008,153029,0000012008
1530580000012008,153058,0000012008
1531760000012008,153176,0000012008
1532160000012008,153216,0000012008
1581970000012008,158197,0000012008
1581990000012008,158199,0000012008
1601200000012008,160120,0000012008
1601720000012008,160172,0000012008
1601980000012008,160198,0000012008
1602490000012008,160249,0000012008
1604260000012008,160426,0000012008
1604940000012008,160494,0000012008
1680080000012008,168008,0000012008
1700410000012008,170041,0000012008
1700810000012008,170081,0000012008
1701190000012008,170119,0000012008
1701210000012008,170121,0000012008
1701410000012008,170141,0000012008
1702100000012008,170210,0000012008
1702570000012008,170257,0000012008
1940440000012008,194044,0000012008
2001280000012008,200128,0000012008
2500160000012008,250016,0000012008
3730670000012008,373067,0000012008
5106770000012008,510677,0000012008
5118400000012008,511840,0000012008
5120350000012008,512035,0000012008
5120870000012008,512087,0000012008
7843200000012008,784320,0000012008
7951800000012008,795180,0000012008
0300260000012009,030026,0000012009
1300570000012009,130057,0000012009
1300810000012009,130081,0000012009
1370430000012009,137043,0000012009
1502230000012009,150223,0000012009
1530210000012009,153021,0000012009
1530300000012009,153030,0000012009
1530580000012009,153058,0000012009
1530590000012009,153059,0000012009
1531760000012009,153176,0000012009
1531970000012009,153197,0000012009
1531980000012009,153198,0000012009
1539780000012009,153978,0000012009
1600470000012009,160047,0000012009
1600900000012009,160090,0000012009
1601050000012009,160105,0000012009
1700380000012009,170038,0000012009
1700520000012009,170052,0000012009
1700690000012009,170069,0000012009
1701220000012009,170122,0000012009
1701410000012009,170141,0000012009
1701700000012009,170170,0000012009
1702010000012009,170201,0000012009
1702050000012009,170205,0000012009
1702130000012009,170213,0000012009
1703050000012009,170305,0000012009
1703280000012009,170328,0000012009
1930100000012009,193010,0000012009
1931200000012009,193120,0000012009
1931290000012009,193129,0000012009
2000500000012009,200050,0000012009
2001090000012009,200109,0000012009
2400010000012009,240001,0000012009
2550180000012009,255018,0000012009
2550220000012009,255022,0000012009
3230180000012009,323018,0000012009
3730440000012009,373044,0000012009
3990050000012009,399005,0000012009
4430420000012009,443042,0000012009
5105990000012009,510599,0000012009
5108150000012009,510815,0000012009
5118570000012009,511857,0000012009
5120350000012009,512035,0000012009
5330130000012009,533013,0000012009
7836010000012009,783601,0000012009
7836020000012009,783602,0000012009
7853200000012009,785320,0000012009
9256100000012009,925610,0000012009
0700060000012010,070006,0000012010
0700210000012010,070021,0000012010
1200340000012010,120034,0000012010
1300290000012010,130029,0000012010
1354570000012010,135457,0000012010
1500020000012010,150002,0000012010
1530740000012010,153074,0000012010
1581260000012010,158126,0000012010
1583170000012010,158317,0000012010
1583370000012010,158337,0000012010
1601400000012010,160140,0000012010
1604350000012010,160435,0000012010
1680050000012010,168005,0000012010
1680070000012010,168007,0000012010
1700550000012010,170055,0000012010
1701410000012010,170141,0000012010
1702180000012010,170218,0000012010
1703050000012010,170305,0000012010
1703450000012010,170345,0000012010
1703460000012010,170346,0000012010
1931120000012010,193112,0000012010
1940680000012010,194068,0000012010
2000470000012010,200047,0000012010
2000790000012010,200079,0000012010
2001340000012010,200134,0000012010
2401250000012010,240125,0000012010
2500170000012010,250017,0000012010
